"company","year","region","country","icb_sector","rank","rd_million","rd_growth_1y_percent","rd_intensity_percent","sales_million","sales_growth_1y_percent","employees","employees_growth_1y_percent","capex_million","capex_growth_1y_percent","capex_intensity_percent","profit_million","profit_growth_1y_percent","profitability_percent","patents_2010_2019"
"DAIMLER",2013,"EU","Germany","Automobiles & Parts",2,5379,-4.61074658627416,4.5591700428879,117982,3.22405662440834,274616,-0.171218559946484,4975,3.06608659622953,4.21674492719228,11201,21.3937357754416,9.49382109135292,19036
"DAIMLER",2014,"EU","Germany","Automobiles & Parts",2,5650,5.03811117308051,4.35043735370211,129872,10.0778084792595,279972,1.95035977510414,4844,-2.63316582914573,3.72982629050142,10342,-7.6689581287385,7.96322532955525,19036
"DAIMLER",2015,"EU","Germany","Automobiles & Parts",2,6529,15.5575221238938,4.36818829574421,149467,15.0879327337686,284015,1.44407297872644,5075,4.76878612716762,3.3953983153472,13088,26.5519241926127,8.75644791157914,19036
"DAIMLER",2016,"EU","Germany","Automobiles & Parts",2,7536,15.4234951753714,4.9171021982109,153261,2.53835294747335,282488,-0.537647659454599,5889,16.0394088669951,3.84246481492356,12702,-2.94926650366748,8.28782273376789,19036
"DAIMLER",2017,"EU","Germany","Automobiles & Parts",2,8663,15,5.3,164330,7.2,289321,2.4,6744,14.5,4.1,14631,15.2,8.9,19036
"DAIMLER",2018,"EU","Germany","Automobiles & Parts",2,9041,4.36338450883067,5.40206259485427,167362,1.95426246085992,298683,3.23585221950706,7534,11.7141162514828,4.5016192445119,10873,-23.8425439518106,6.49669578518421,19036
"DAIMLER",2019,"EU","Germany","Automobiles & Parts",2,9630,6.51476606570069,5.57469101855336,172745,3.21638125739414,298655,-0.00937448733272506,7199,-4.44650915848155,4.16741439694347,4680,-56.9576013979582,2.70919563518481,19036
"GLAXOSMITHKLINE",2010,"EU","UK","Pharmaceuticals",5,4378.959,3.38935629783779,13.2149896142608,33136.303,0.0846011601987495,98485,-0.37327776316588,1490.195304,-9.22509225092251,3.67709095368907,3969,3.61278369615563,13.5495924213392,1525
"GLAXOSMITHKLINE",2011,"EU","UK","Pharmaceuticals & Biotechnology",5,4376.972191,-2.36888372125835,13.3749589220912,32725.126234,-3.53658690336111,97401,-1.10067522973042,1102.906179,-11.5871294677094,3.37021214559633,8961.859523,94.9634467788801,27.3852557784453,1525
"GLAXOSMITHKLINE",2012,"EU","UK","Pharmaceuticals & Biotechnology",6,4229.049584,-3.46710345474008,13.3782301100611,31611.428038,-3.49070726919112,98681,1.31415488547346,1256.994093,13.8678223444367,3.97639135912801,8913.774476,-0.626666658743946,28.1979493785753,1525
"GLAXOSMITHKLINE",2013,"EU","UK","Pharmaceuticals & Biotechnology",7,4154.316212,-1.61199096792176,13.1258253150959,31649.942859,0.279974272626493,99817,1.15118411852333,1418.605249,13.0352046340227,4.48217317585648,8441.178875,-3.96685232570289,26.6704395410928,1525
"GLAXOSMITHKLINE",2014,"EU","UK","Pharmaceuticals & Biotechnology",8,4001.950917,-10.5202644430859,13.5312527176973,29575.612846,-13.2012827752029,98702,-1.11704419086929,1527.246286,0,5.16387029392209,4601.022271,-49.3704908777308,15.5568112652728,1525
"GLAXOSMITHKLINE",2015,"EU","UK","Pharmaceuticals & Biotechnology",9,4214.169821,-0.546097027349091,12.9415207108495,32563.173333,3.98591671712309,101192,2.52274523312597,1878.409029,16.1616161684873,5.76850729439318,13996.869598,185.321864584255,42.9837394988018,1525
"GLAXOSMITHKLINE",2016,"EU","UK","Pharmaceuticals & Biotechnology",11,3952.838467,9.39922478434494,12.144573127927,32548.187782,16.5781883526659,99300,-1.86971302079215,1800.776426,11.8115942274199,5.53264727996892,2525.521832,245.135566021679,7.75933163749497,1525
"GLAXOSMITHKLINE",2017,"EU","UK","Pharmaceuticals & Biotechnology",10,4351,14,12.8,34008,8.2,98462,-0.8,1740.6,0.1,5.1,4609,89,13.6,1525
"GLAXOSMITHKLINE",2018,"EU","UK","Pharmaceuticals & Biotechnology",9,4141.279363,-3.28845157712817,12.1183608577492,34173.593373,2.10362419808225,95490,-3.01842335114054,1490.195304,-13.0097087460253,4.36066318146507,5868.752789,29.381569307066,17.1733558275344,1525
"GLAXOSMITHKLINE",2019,"RoW","UK","Pharmaceuticals & Biotechnology",8,5068.025194,16.1713520804593,12.8547727662466,39425.241396,9.51623892874178,99437,4.13341711173945,1477.541339,-5.87797615251107,3.74770397512368,7198.487963,16.4368033263016,18.2585767597363,1525
"SIEMENS",2010,"EU","Germany","Electrical Components & Equipment",6,4241,-0.957496496964039,5.58173203474599,75980,-0.894790389481648,402700,-2.64716547806116,4975,-15.2765185856754,3.46933403527244,9281,-49.4338965337049,7.26638589102395,42403
"SIEMENS",2011,"EU","Germany","Electronic & Electrical Equipment",6,4278,0.87243574628626,5.81922056723118,73515,-3.24427480916031,402000,-0.17382666997765,2171,-17.6403641881639,2.95313881520778,8588,55.5515305198334,11.6819696660545,42403
"SIEMENS",2012,"EU","Germany","Electronic & Electrical Equipment",5,4572,6.87237026647967,5.83937876775314,78296,6.85226885022177,410000,1.99004975124377,2206,1.98797965788258,2.81751302748544,6949,-21.8686755115808,8.87529375702462,42403
"SIEMENS",2013,"EU","Germany","Electronic & Electrical Equipment",6,4556,-0.349956255468065,6.00405893360744,75882,-3.08317155410238,367000,-10.4878048780488,1869,-15.2765185856754,2.46303471178936,5293,-22.69607127209,6.97530376110277,42403
"SIEMENS",2014,"EU","Germany","Electronic & Electrical Equipment",6,4377,-3.92888498683055,6.08592880978865,71920,-5.22126459502913,344400,-6.15803814713897,1831,-2.03317281968968,2.54588431590656,6373,17.8221482713995,8.86123470522803,42403
"SIEMENS",2015,"EU","Germany","Electronic & Electrical Equipment",7,4820,10.1210875028558,6.37262679147496,75636,5.16685205784204,348000,-2.52100840336135,1897,3.60458765701803,2.50806494261992,5809,-8.84983524242899,7.6802051932942,42403
"SIEMENS",2016,"EU","Germany","Electronic & Electrical Equipment",7,5056,4.89626556016598,6.34824971121491,79644,5.29906393780739,351000,0.862068965517238,2135,12.5461254612546,2.68067902164633,7141,22.9299363057325,8.96614936467279,42403
"SIEMENS",2017,"EU","Germany","Electronic & Electrical Equipment",5,5538,9.5,6.7,83049,4.3,372000,6,2406,12.7,2.9,7516,5.3,9.1,42403
"SIEMENS",2018,"EU","Germany","Electronic & Electrical Equipment",5,5909,6.69916937522572,7.11550503347623,83044,-0.00602054208961311,379000,1.88172043010753,2602,8.14630091438071,3.13327874379847,6083,-19.0659925492283,7.32503251288474,42403
"SIEMENS",2019,"EU","Germany","Electronic & Electrical Equipment",5,6086,2.99543069893382,7.0075648539419,86849,4.5819083859159,385000,1.58311345646438,2610,0.307455803228285,3.00521594952158,6742,10.8334703271412,7.76289882439637,42403
"ROBERT BOSCH",2010,"EU","Germany","Automobiles & Parts",7,3824,6.87534935718279,8.09158043970461,47259,23.7989207313879,276418,0.687720831967353,2977.5,44.5512820512821,5.03396178505681,1688,-49.4338965337049,6.71618104488034,43674
"ROBERT BOSCH",2011,"EU","Germany","Automobiles & Parts",7,4242,10.9309623430962,8.23785295374218,51494,8.96125605704734,302519,9.44258333393628,1639,39.5294117647059,2.05512713428255,3463,9.1052299936988,6.72505534625393,43674
"ROBERT BOSCH",2012,"EU","Germany","Automobiles & Parts",3,4924,16.0773220179161,9.38548337907899,52464,1.8837146075271,305877,1.11001292480803,8057,-99.9,0,2397,-30.7825584753104,4.5688472095151,43674
"ROBERT BOSCH",2013,"EU","Germany","Automobiles & Parts",5,4653,-5.50365556458164,10.1002865329513,46068,3.05348634319844,279739,2.43435338403681,1639,-57.088122605364,0,2589,50.6108202443281,5.61995311278979,43674
"ROBERT BOSCH",2014,"EU","Germany","Automobiles & Parts",3,5042,8.36019772189984,10.3000960143817,48951,6.25814014066164,286084,2.26818570167191,11242,-100,0,3032,35.2967425256582,6.19394905109191,43674
"ROBERT BOSCH",2015,"EU","Germany","Automobiles & Parts",5,5202,3.17334391114636,7.36754146189471,70607,44.2401585258728,374778,29.1522935526892,0,-99.9,0,4663,57.9607046070461,6.60416106051808,43674
"ROBERT BOSCH",2016,"EU","Germany","Automobiles & Parts",3,5587,7.40099961553249,7.63992396997087,73129,3.57188380755449,389281,3.86975756314405,5213,7.52887788778878,7.12849895390338,3125,-32.983058117092,4.27327052195435,43674
"ROBERT BOSCH",2017,"EU","Germany","Automobiles & Parts",4,5934,0.4,7.6,78066,6.8,402166,3.3,5477,5.1,7,4824,54.4,6.2,43674
"ROBERT BOSCH",2018,"EU","Germany","Automobiles & Parts",4,6189,4.29726996966633,7.88759319441789,78465,0.511105987241556,409881,1.91836206939422,3095,-43.490962205587,3.94443382399796,5741,19.0091210613599,7.31663799146116,43674
"ROBERT BOSCH",2019,"EU","Germany","Automobiles & Parts",4,6229,0.646307965745674,8.0145649181045,77721,-0.948193462053148,398150,-2.86205020481555,4946,59.8061389337641,6.36378842269142,2903,-49.4338965337049,3.73515523474994,43674
"BAYER",2010,"EU","Germany","Chemicals",8,3211,8.33333333333333,9.15127678978568,35088,12.5770020533881,113797,4.79027579538653,1088.086677,12.4629080118694,3.45417236662107,999,34.25,7.54103967168263,7267
"BAYER",2011,"EU","Germany","Chemicals",12,3045,-5.16972905636873,8.33607095926413,36528,4.10396716826265,111800,-1.75487930261782,1615,33.2508250825082,4.4212658782304,3969,50,10.8656373193167,7267
"BAYER",2012,"EU","Germany","Pharmaceuticals & Biotechnology",13,3182,4.49917898193761,8.00301810865191,39760,8.84800700832238,110500,-1.16279069767442,1929,19.4427244582043,4.85160965794769,3763,-5.19022423784329,9.46428571428571,7267
"BAYER",2013,"EU","Germany","Pharmaceuticals & Biotechnology",12,3259,2.41986172218731,8.11564608910028,40157,1.04677788681715,113200,2.90909090909091,2157,11.8195956454121,5.37141718753891,4826,29.6614723267061,12.0178300171826,7267
"BAYER",2014,"EU","Germany","Pharmaceuticals & Biotechnology",10,3689,13.1942313593127,8.73363479249035,42239,5.18465024777748,118900,5.03533568904593,2371,9.92118683356513,5.61329576931272,5571,15.3893951946976,13.1892326996378,7267
"BAYER",2015,"EU","Germany","Pharmaceuticals & Biotechnology",8,4436,20.2493900786121,9.38418903767638,47271,11.9131608229361,116800,-1.76619007569386,2517,6.15773935048503,5.32461763025957,6578,18.0757494166218,13.9155084512703,7267
"BAYER",2016,"EU","Germany","Pharmaceuticals & Biotechnology",9,4774,7.619477006312,10.0427035782654,47537,0.562712868354809,115200,-1.36986301369862,2578,2.42352006356774,5.42314407724509,7237,10.0182426269383,15.223930832825,7267
"BAYER",2017,"EU","Germany","Pharmaceuticals & Biotechnology",7,5162,8.1,11.2,46072,-3.1,99820,-13.4,2366,-8.2,5.1,11366,57.1,24.7,7267
"BAYER",2018,"EU","Germany","Pharmaceuticals & Biotechnology",7,5109,-1.02673382409919,12.9060779063305,39586,-14.0779649244661,116998,17.2089761570827,2593,9.59425190194421,6.55029555903602,-361,-103.176139363012,-0.911938564138837,7267
"BAYER",2019,"EU","Germany","Pharmaceuticals & Biotechnology",7,5628,10.15854374633,12.1589215114395,46287,16.9277017127267,103824,-11.2600215388297,2650,2.19822599305823,5.7251496100417,5960,-1750.96952908587,12.876185538056,7267
"ASTRAZENECA",2010,"EU","UK","Pharmaceuticals",9,3204.549,-3.04467440663613,12.9219379699202,24799.291,1.41750971018628,61700,-3.44287949921753,4742.35566,-7.30593610788743,2.42868636849336,3052,-6.48311762739385,34.3593129335835,1185
"ASTRAZENECA",2011,"EU","UK","Pharmaceuticals & Biotechnology",8,3667.980487,10.3998777157983,14.1287844950734,25961.047734,0.969787756884255,57200,-7.29335494327391,648.427229,3.83865065815516,2.49769283444899,9894.891314,12.004580820884,38.1143758733632,1185
"ASTRAZENECA",2012,"EU","UK","Pharmaceuticals & Biotechnology",11,3375.019069,-5.61678675032369,15.9189218196583,21201.30438,-16.7247179308029,51700,-9.61538461538461,509.322437,-19.9046485223341,2.40231651728213,6045.930184,-37.6942904000772,28.5167840413789,1185
"ASTRAZENECA",2013,"EU","UK","Pharmaceuticals & Biotechnology",13,3202.81351,-0.808443760631095,17.1794173692846,18643.318578,-8.08636899847568,51500,-0.386847195357831,538.032064,10.4166666923196,2.88592431518551,2667.681889,-53.34178820548,14.3090506008302,1185
"ASTRAZENECA",2014,"EU","UK","Pharmaceuticals & Biotechnology",7,4164.399559,14.4668327010761,19.375359265575,21493.276599,1.49352416875599,57500,11.6504854368932,833.538836,36.388140251697,3.87813757553737,1760.150684,-41.9135634645036,8.18930829784181,1185
"ASTRAZENECA",2015,"EU","UK","Pharmaceuticals & Biotechnology",4,5217.233577,12.3417721557828,22.9885057470758,22694.96606,-6.92733642119727,61500,6.95652173913044,1219.803907,31.2252964235531,5.37477740118727,2818.040953,29.3423271178861,12.417030920204,1185
"ASTRAZENECA",2016,"EU","UK","Pharmaceuticals & Biotechnology",4,5358.125229,-0.56338028127193,24.5543865761104,21821.458306,-6.90464626934714,59700,-2.92682926829267,1371.78631,8.88554213185617,6.28640987583683,3522.436079,20.3565640333379,16.1420746020053,1185
"ASTRAZENECA",2017,"EU","UK","Pharmaceuticals & Biotechnology",9,4512.6,-4.2,24.1,18731.8,-2.3,61000,2.2,1105.6,-8.3,5.9,1786,-42.3,9.5,1185
"ASTRAZENECA",2018,"EU","UK","Pharmaceuticals & Biotechnology",8,4631.438686,-2.67939071389245,24.0063377093708,19292.56658,-1.66926329846429,64400,5.57377049180328,910.916566,-21.342383107089,4.72159348121322,1318.77662,-29.5051353874883,6.83567224988683,1185
"ASTRAZENECA",2019,"RoW","UK","Pharmaceuticals & Biotechnology",9,4795.264985,1.58400905148028,22.0923556430446,21705.53952,10.3847894975102,70600,9.62732919254659,871.461745,-6.13614573346117,4.01492782152231,1515.04381,12.7152317880795,6.97998687664042,1185
"ERICSSON",2010,"EU","Sweden","Telecommunications Equipment",11,3022.423,11.498365940135,13.4046084909725,22547.641,-1.51542344652499,91825,6.32816118573414,42.074,-34.7549653969504,1.8126552573726,182.038,3.14829973500561,7.97549065110625,19967
"ERICSSON",2011,"EU","Sweden","Technology Hardware & Equipment",9,3656.869226,19.559336626209,14.3618263643151,25462.424717,11.5906889737103,104525,13.8306561393956,560.368362,35.4835580102616,2.20076590595031,1990.687847,9.38907649030503,7.81813935289091,19967
"ERICSSON",2012,"EU","Sweden","Technology Hardware & Equipment",9,3862.719357,1.71831851984321,14.5535804453414,26541.368095,0.378105152870845,110255,5.48194211911026,632.600404,8.7104526198563,2.38345062596518,276.274739,-86.6354771391439,1.0409212441918,19967
"ERICSSON",2013,"EU","Sweden","Technology Hardware & Equipment",9,3484.793321,-4.4151340653111,13.5775103804376,25665.922716,-0.176925882088608,114340,3.70504739014104,508.293092,-17.0565481529728,1.9804200987605,2124.49129,693.800083194476,8.27747871568086,19967
"ERICSSON",2014,"EU","Sweden","Technology Hardware & Equipment",9,3856.6973,17.342575781878,15.8897812542508,24271.55691,0.266958690206343,118055,3.24908168619906,566.591482,18.1878746287065,2.33438458068819,1802.936255,-10.0207215580958,7.4281854340262,19967
"ERICSSON",2015,"EU","Sweden","Technology Hardware & Equipment",11,3805.649604,-3.46160216922483,14.1632917528873,26869.810143,8.3063210868223,116281,-1.50268942442082,907.340341,56.6704247190923,3.37680220355549,2355.842053,27.8358429390702,8.76761704106694,19967
"ERICSSON",2016,"EU","Sweden","Technology Hardware & Equipment",12,3295.379582,-9.9879903721614,14.1410012233677,23303.72178,-9.8461039998746,111464,-4.14255123364953,641.614456,-26.4931638452665,2.75327032332944,655.537563,-71.0748764310765,2.81301660390832,19967
"ERICSSON",2017,"EU","Sweden","Technology Hardware & Equipment",13,3260.7,2,15.9,20449.6,-9.6,100735,-9.6,393.8,-36.7,1.9,-3870.3,-708.4,-18.9,19967
"ERICSSON",2018,"EU","Sweden","Technology Hardware & Equipment",15,3484.008567,11.3091158353242,16.9457118698552,20559.824183,2.65851259412473,95359,-5.33677470591155,387.621307,2.52772766975271,1.88533376331353,160.801895,-105.307882940611,0.782117072445395,19967
"ERICSSON",2019,"EU","Sweden","Technology Hardware & Equipment",15,3681.59447,7.64946262540585,16.9270649954198,21749.750893,7.76804940583407,99417,4.25549764573874,489.909271,28.7547169583219,2.25248221650977,929.659798,488.963008463689,4.27434687676908,19967
"BMW",2010,"EU","Germany","Automobiles & Parts",12,2773,13.2761437908497,4.75113509808961,58365,22.0974017823522,94446,-1.83042813932458,9481,-3.44318740777176,19.8218110168766,7079,8.05546384945526,8.51709072217939,553
"BMW",2011,"EU","Germany","Automobiles & Parts",10,3373,21.6372160115398,4.90112029758359,68821,17.9148462263343,100306,6.20460368888043,3679,-68.1994986602126,5.34575202336496,8397,68.9197344598672,12.2012176515889,553
"BMW",2012,"EU","Germany","Automobiles & Parts",8,3952,17.1657278387192,5.14261919633562,76848,11.6635910550559,105876,5.55300779614381,5236,42.3212829573254,6.81344992712888,8878,5.72823627486008,11.5526754112013,553
"BMW",2013,"EU","Germany","Automobiles & Parts",3,4792,21.2550607287449,6.30045491598517,76058,-1.0280033312513,110351,4.22664248743814,6669,27.3682200152788,8.76830839622393,8195,-4.78680144068782,10.774671960872,553
"BMW",2014,"EU","Germany","Automobiles & Parts",5,4566,-4.71619365609349,5.67903384286265,80401,5.7087261205117,105743,5.68276082632899,6099,-8.87494397131331,7.58572654568973,9290,13.3618059792556,11.5545826544446,553
"BMW",2015,"EU","Germany","Automobiles & Parts",6,5169,13.2063074901446,5.60781122864117,92175,14.6440964664619,111905,5.82733608844084,5889,-3.44318740777176,6.38893409275834,9623,3.58449946178687,10.4399240574993,553
"BMW",2016,"EU","Germany","Automobiles & Parts",5,5164,-0.0967305088024784,5.48410734577276,94163,2.15676701925684,115842,3.51816272731333,5823,-1.12073357106469,6.18395760542888,9327,-3.07596383664138,9.9051644488812,553
"BMW",2017,"EU","Germany","Automobiles & Parts",3,6108,18.3,6.2,98678,4.8,129932,12.2,7112,22.1,7.2,9764,4.7,9.9,553
"BMW",2018,"EU","Germany","Automobiles & Parts",3,6890,12.8028814669286,7.06811653672548,97480,-0.816019210028285,134682,3.6557583966998,7777,9.35039370078741,7.97804677882643,8975,-8.25922518654809,9.20701682396389,553
"BMW",2019,"EU","Germany","Automobiles & Parts",3,6419,-6.83599419448476,6.15967757412916,104210,6.90398030365202,133778,-0.671210703731751,6902,-11.2511251125113,6.6231647634584,7403,-17.5153203342618,7.1039247672968,553
"VOLVO",2010,"EU","Sweden","Commercial Vehicles & Trucks",18,1799.061,4.74497878680431,6.12844589482819,29355.909,21.2437200857266,94250,7.00013623359521,737,-43.9260999651242,4.48349257384604,2149,60.3698811096433,6.64591581885609,2752
"VOLVO",2011,"EU","Sweden","Industrial Engineering",18,1965.216558,7.94283945087906,5.64299684007152,34825.760384,17.2288183135779,102248,8.48594164456233,930.206992,-30.1611749134517,2.67103139096818,3044.997244,54.2289307297043,8.74351976934569,2752
"VOLVO",2012,"EU","Sweden","Industrial Engineering",17,2351.306603,15.2163982871632,6.64554564909457,35381.693651,-2.16517864271016,102082,-0.162350363821295,1088.086677,12.6417370365654,3.07528149368069,2058.835243,-34.8896340948624,5.81892789900918,2752
"VOLVO",2013,"EU","Sweden","Industrial Engineering",17,2130.473864,-6.46711928174352,6.92313899764779,30773.235446,-10.2174564537743,94832,-7.10213357888756,934.749076,-11.3193403680964,3.03753915521906,809.227887,-59.4261135150865,2.62964837876736,2752
"VOLVO",2014,"EU","Sweden","Industrial Engineering",19,1921.215687,-4.38698740317056,6.37785034642677,30123.248158,3.78766203959615,92822,-2.11953770879029,1832.000418,107.800990316455,6.08168285302747,614.712367,-19.4587808402413,2.04065764679745,2752
"VOLVO",2015,"EU","Sweden","Industrial Engineering",24,1916.86257,-2.38834087323225,5.63652944797126,34007.851599,10.4496232509562,88464,-4.69500764904872,1859.732121,-0.685727600015906,5.46853750989282,2036.020362,224.038794485054,5.98691262831748,2752
"VOLVO",2016,"EU","Sweden","Industrial Engineering",25,1839.10634,-0.266818069260155,5.81887557240604,31605.871566,-3.39215717597061,84039,-5.00203472599023,1827.800359,2.16500880626933,5.78310379823936,2168.445397,10.7108498298308,6.86089416161744,2752
"VOLVO",2017,"EU","Sweden","Industrial Engineering",25,1840.2,3.1,5.4,34005.8,10.9,87104,3.6,1750.1,-1.3,5.1,3067,45.8,9,2752
"VOLVO",2018,"EU","Sweden","Industrial Engineering",24,1914.312925,8.36875517454409,5.02284857424877,38112.097084,16.7546930839985,105175,20.746463997061,1669.648306,-0.615277444456319,4.38088804801282,3358.799572,14.0869795710559,8.81294871966012,2752
"VOLVO",2019,"EU","Sweden","Industrial Engineering",24,1879.134214,16.2147762223677,4.54442335073901,41350.333562,10.5277432359196,103985,-1.13144758735441,1728.275087,5.44912977856442,4.17959164563607,4713.964828,42.9741028805288,11.400064816725,2752
"SAP",2010,"EU","Germany","Software",19,1730,12.1192482177576,13.879974326059,12464,16.791604197901,49970,3.0925708155392,274.1,4.6,2.11007702182285,1025.6,-3.7,20.6755455712452,860
"SAP",2011,"EU","Germany","Software & Computer Services",20,1939,12.0809248554913,13.6232698658048,14233,14.1928754813864,55765,11.5969581749049,445,69.2015209125475,3.12653692123937,4863,88.7077997671711,34.1670765123305,860
"SAP",2012,"EU","Germany","Software & Computer Services",18,2253,16.1939143888602,13.8876903162177,16223,13.9815920747558,64422,15.5240742401148,541,21.5730337078652,3.33477162053874,4070,-16.3068064980465,25.0878382543303,860
"SAP",2013,"EU","Germany","Software & Computer Services",16,2282,1.28717265867733,13.5712161760333,16815,3.64914010972077,66572,3.33736922169445,566,4.62107208872458,3.36604222420458,4479,10.7019278299555,26.6369313113292,860
"SAP",2014,"EU","Germany","Software & Computer Services",15,2307,1.09553023663453,13.1378132118451,17560,4.43056794528696,74406,11.7677101484107,737,30.2120141342756,4.19703872437358,4331,-3.30430899754409,24.6640091116173,860
"SAP",2015,"EU","Germany","Software & Computer Services",14,2689,16.5583008235804,12.9322368104651,20793,18.4111617312073,76986,3.46746230142729,636,-13.7042062415197,3.05872168518251,4252,-8.34231515412804,20.4491896311259,860
"SAP",2016,"EU","Germany","Software & Computer Services",15,3037,12.9416139828933,13.7657510651799,22062,6.10301543788776,84183,9.34845296547424,1001,57.3899371069182,4.53721330795032,5134,20.7431796801505,23.2707823406763,860
