"company","year","region","country","icb_sector","rank","rd_million","rd_growth_1y_percent","rd_intensity_percent","sales_million","sales_growth_1y_percent","employees","employees_growth_1y_percent","capex_million","capex_growth_1y_percent","capex_intensity_percent","profit_million","profit_growth_1y_percent","profitability_percent","patents_2010_2019","performance group","Summary Innovation Index","New doctorate graduates","Population with tertiary education","Population involved in lifelong learning","International scientific co-publications","Scientific publications among the top 10% most cited","Foreign doctorate students as a % of all doctorate students","Individuals with above basic overall digital skills","R&D expenditure in the public sector","Venture capital expenditures","Direct and indirect government support of business R&D","R&D expenditure in the business sector","Employed ICT specialists","SMEs introducing product innovations","SMEs introducing business process innovations","Innovative SMEs collaborating with others","Public-private co-publications","Job-to-job mobility of HRST","PCT patent applications","Trademark applications","Design applications","Employment in knowledge-intensive activities","Employment in innovative enterprises","Exports of medium and high technology products","Knowledge-intensive services exports","Sales of new-to-market and new-to-firm innovations","Resource productivity","Air emissions by fine particulates","Environment-related technologies","Broadband penetration","Non-R&D innovation expenditures","Innovation expenditures per person employed","Enterprises providing ICT training","Human resources","Attractive research systems","Digitalisation","Firm investments","Use of information technologies","Innovators","Linkages","Intellectual assets","Employment impacts","Sales impacts","Environmental sustainability","Finance and support"
"RHEINMETALL",2018,"EU","Germany","Automobiles & Parts",136,241,7.58928571428572,3.91997397527651,6148,4.27408412483039,22899,5.96483109671448,277,2.59259259259259,4.50553025374105,459,25.4098360655738,7.4658425504229,731,"Strong",118.6,134.8,73.1,68.4,105.6,112.9,137.2,66.1,136.1,89.6,44.4,147.4,112.9,133.2,118.3,90.6,200.5,200,129.2,109.8,136.1,101.2,160.4,112.5,104.2,102.3,123,119.7,116.8,95.1,126.9,161.8,153.5,97.7,117.1,80.6,145.1,132.9,125.6,159.8,126.4,132,107,119.5,95.8
"RHEINMETALL",2019,"EU","Germany","Automobiles & Parts",128,279,15.7676348547718,4.46043165467626,6255,1.74040338321406,23780,3.84732957771081,288,3.971119133574,4.60431654676259,493,7.40740740740742,7.88169464428457,731,"Strong",119.1,134.8,73.1,68.4,110,110.4,137.2,66.1,136.1,97.4,44.6,155.6,112.9,133.2,118.3,90.6,208.9,200,128.5,109.7,144.2,101.2,160.4,112.1,104.3,102.3,127.1,120,111.1,95.1,126.9,161.8,145.2,97.7,116.8,80.6,148,128.8,125.6,161.2,128.8,132,107,119,98.3
"BAT",2017,"EU","UK","Tobacco",163,188.1,47.8,0.8,22861.3,37.6,55761,11.9,891.2,35,3.9,7289.2,39.1,31.9,60,"Leader",126.4,158.9,134.1,136.7,156.7,143,262.2,NA,67.2,126.7,207.7,78.9,125.8,132.8,98.1,328.6,210.3,250,94.3,100.5,66.4,145.8,141.4,93.3,112.5,162.9,197.4,85.2,101,39.1,89.5,83.7,140.1,145.2,175.1,39,83.9,132.9,115,270.7,86.7,143.3,117.5,117.8,125.3
"BAT",2018,"EU","UK","Tobacco",130,249.47466,34.7305393102206,0.918667318391834,27156.148369,20.6978119463776,56710,1.70190635031653,840.452411,-4.17193427815982,3.09488812470702,10309.401745,43.7094281405249,37.963416626375,60,"Leader",127.7,162.8,134.7,135.7,165.6,146.8,263.5,NA,63.9,139.7,207.7,80.5,122.6,132.8,98.1,328.6,222.1,250,92.2,98.4,66.3,145.8,141.4,89.4,113.2,162.9,218.4,87.1,97.6,39.1,89.5,83.7,148.4,146.7,179.3,39,84.5,135.3,115,272.8,85.4,143.3,116.2,122.6,128.2
"BAT",2019,"RoW","UK","Tobacco",112,320.036622,21.7777779807175,1.05885535382878,30224.772519,5.65490772660033,59989,5.78204902133663,775.563201,-12.4010553413209,2.56598523781267,10560.040512,-2.76403527358214,34.9383622502426,60,"Leader",128.5,169.3,140.1,138.7,175.5,148.9,256.7,NA,63.9,150.5,207.7,82.7,129,132.8,98.1,328.6,231,261.8,90,93.5,66.6,150.6,141.4,82.2,113.8,162.9,224.2,89.5,92.5,39.1,89.5,83.7,134.4,152,181.1,39,85.4,131.6,115,279.7,83.3,145.7,113.5,123.7,131.6
"DANONE",2017,"EU","France","Food Producers",91,342,2.7,1.4,24677,12.5,104843,5.7,969,4.8,3.9,3896,26.5,15.8,202,"Strong",112.7,123.2,153.3,102,94.4,96.1,232.4,121.3,103.3,148.2,230,105.3,100,111.7,137,149.6,131.4,94.1,104.4,76.5,66.5,114.5,129.4,94.5,83.5,74.1,138,106.2,113.6,144.6,75.3,122.7,64.3,127.3,128.8,133,100.7,82.4,124.7,122.1,85,122.1,85.5,116.4,152.9
"DANONE",2018,"EU","France","Food Producers",98,335,-2.046783625731,1.35897123848931,24651,-0.648879574399486,105783,0.896578693856531,941,-2.88957688338494,3.81728935945803,2900,-25.4498714652956,11.7642286316985,202,"Strong",112.7,111.6,153.3,102,97.5,93.9,232.4,121.3,101.6,153.9,230,106,100,111.7,137,149.6,132.8,94.1,104.6,76.8,64.6,114.5,129.4,93,85.3,74.1,152.9,105.8,114.2,144.6,75.3,122.7,64.3,122.6,128.2,133,100.9,82.4,124.7,122.1,84.5,122.1,85.5,120,154
"DANONE",2019,"EU","France","Food Producers",102,351,4.77611940298508,1.38806501364337,25287,2.58001703784836,102449,-3.15173515593242,951,1.06269925611051,3.76082572072606,3233,18.3382137628111,12.7852256099972,202,"Strong",113.3,123.2,153.3,102,99.4,94.9,232.4,121.3,98.4,154.8,230,105.3,100,111.7,137,149.6,133.5,117.6,103,77.7,65.1,114.5,129.4,92.5,81.4,74.1,159.3,105.8,107.4,144.6,75.3,122.7,64.3,127.3,129.3,133,100.7,82.4,124.7,132.6,84.2,122.1,83.9,119.5,153.1
"VATTENFALL",2017,"EU","Sweden","Electricity",399,49,8.3,0.4,13744.1,-11.4,20041,0.5,2025.2,-15.1,14.7,1894,2122.2,13.8,13,"Leader",136.9,169.5,147.3,274.3,264.6,134.9,197.7,141.1,136.1,88.7,91.6,165.4,200,124.1,96.7,147.5,424.9,120.6,133.2,119,106.6,173.5,120.4,86.7,104.1,50.1,63.8,99.6,87.4,199.7,119.1,191.6,175.2,189.6,179.3,170.4,158.1,187.8,110.1,192.4,120.9,145.7,83.4,86.9,108.4
"VATTENFALL",2018,"EU","Sweden","Electricity",387,55.485917,18.0497926370571,0.362827112357903,15292.660088,16.0679130179727,19910,-0.65365999700614,2087.30417,10.0627313709961,13.6490588163788,1718.113159,-4.88555388919033,11.2348875154048,13,"Leader",137.3,157.9,147.3,274.3,272.9,132.7,210.2,141.1,136.1,95.1,87.4,166.9,200,124.1,96.7,147.5,419.7,120.6,133.2,124.9,106,173.5,120.4,85.6,100.9,50.1,71,102.7,95.6,199.7,119.1,191.6,175.2,184.6,182.9,170.4,158.7,187.8,110.1,191.3,122.2,145.7,81.8,92.7,109.4
