"company","year","region","country","icb_sector","rank","rd_million","rd_growth_1y_percent","rd_intensity_percent","sales_million","sales_growth_1y_percent","employees","employees_growth_1y_percent","capex_million","capex_growth_1y_percent","capex_intensity_percent","profit_million","profit_growth_1y_percent","profitability_percent","patents_2010_2019","performance group","Summary Innovation Index","New doctorate graduates","Population with tertiary education","Population involved in lifelong learning","International scientific co-publications","Scientific publications among the top 10% most cited","Foreign doctorate students as a % of all doctorate students","Individuals with above basic overall digital skills","R&D expenditure in the public sector","Venture capital expenditures","Direct and indirect government support of business R&D","R&D expenditure in the business sector","Employed ICT specialists","SMEs introducing product innovations","SMEs introducing business process innovations","Innovative SMEs collaborating with others","Public-private co-publications","Job-to-job mobility of HRST","PCT patent applications","Trademark applications","Design applications","Employment in knowledge-intensive activities","Employment in innovative enterprises","Exports of medium and high technology products","Knowledge-intensive services exports","Sales of new-to-market and new-to-firm innovations","Resource productivity","Air emissions by fine particulates","Environment-related technologies","Broadband penetration","Non-R&D innovation expenditures","Innovation expenditures per person employed","Enterprises providing ICT training","Human resources","Attractive research systems","Digitalisation","Firm investments","Use of information technologies","Innovators","Linkages","Intellectual assets","Employment impacts","Sales impacts","Environmental sustainability","Finance and support"
"VECTURA",2019,"RoW","UK","Pharmaceuticals & Biotechnology",483,43.333425,-1.06666725722132,20.8076272648492,208.257407,11.0903425641333,480,10.5990783410138,6.774497,-49.5652199160629,3.25294408376073,-31.536455,-74.3833018773278,-15.1430172181103,88,"Leader",128.5,169.3,140.1,138.7,175.5,148.9,256.7,NA,63.9,150.5,207.7,82.7,129,132.8,98.1,328.6,231,261.8,90,93.5,66.6,150.6,141.4,82.2,113.8,162.9,224.2,89.5,92.5,39.1,89.5,83.7,134.4,152,181.1,39,85.4,131.6,115,279.7,83.3,145.7,113.5,123.7,131.6
"SARTORIUS",2017,"EU","Germany","Electronic & Electrical Equipment",307,79.4,21.7,5.6,1404.6,8,7501,8.5,197.1,32.5,14,227.4,4.8,16.2,546,"Strong",119,146.3,73.1,68.4,102.3,113.4,137.2,66.1,136.1,83.1,43.3,148.1,112.9,133.2,118.3,90.6,194.9,200,131.1,108.7,141.1,101.2,160.4,111.7,103.5,102.3,113.7,119.6,123.7,95.1,126.9,161.8,158,102.6,116.8,80.6,145.3,134.9,125.6,158.3,128.5,132,106.4,119.3,93.3
"SARTORIUS",2018,"EU","Germany","Electronic & Electrical Equipment",264,106.696,34.4574244199967,6.8131386758772,1566.033,11.4956260603787,8125,8.31889081455806,233.184,18.3050572286712,14.8901076797232,298.951,31.4428547560214,19.0896998977672,546,"Strong",118.6,134.8,73.1,68.4,105.6,112.9,137.2,66.1,136.1,89.6,44.4,147.4,112.9,133.2,118.3,90.6,200.5,200,129.2,109.8,136.1,101.2,160.4,112.5,104.2,102.3,123,119.7,116.8,95.1,126.9,161.8,153.5,97.7,117.1,80.6,145.1,132.9,125.6,159.8,126.4,132,107,119.5,95.8
"SARTORIUS",2019,"EU","Germany","Electronic & Electrical Equipment",225,134.549,26.1050086226288,7.36461433874522,1826.966,16.6620371345942,9016,10.9661538461538,225.568,-3.26609029779058,12.3465899201189,335.081,12.0855926222023,18.3408448761499,546,"Strong",119.1,134.8,73.1,68.4,110,110.4,137.2,66.1,136.1,97.4,44.6,155.6,112.9,133.2,118.3,90.6,208.9,200,128.5,109.7,144.2,101.2,160.4,112.1,104.3,102.3,127.1,120,111.1,95.1,126.9,161.8,145.2,97.7,116.8,80.6,148,128.8,125.6,161.2,128.8,132,107,119,98.3
"SIMCORP",2017,"EU","Denmark","Software & Computer Services",341,63.5,9.7,18.5,343.4,16,1421,11.5,3.2,6.4,0.9,88.9,30.3,25.9,0,"Leader",135.1,157.9,146.1,218.2,303.3,150,193.6,148.6,159,82.4,39.7,142.9,145.2,98.3,95.8,143.6,551,282.4,128.2,119.2,169.9,126.5,99.8,73.9,103.4,50.6,71.9,123.3,188.7,194.5,54,93.8,154.8,169.7,194.8,171.4,97.5,149.8,97.1,285.5,139.4,112.5,78.1,130.7,101.3
"SIMCORP",2018,"EU","Denmark","Software & Computer Services",343,68.383,7.73557260567486,17.8720212426756,382.626,11.421208194406,1660,16.8191414496833,1.95,-38.3301707779886,0.509636041460852,103.345,16.2564402546854,27.0094034383445,0,"Leader",134.9,157.9,146.1,218.2,315.5,146.4,204.1,148.6,155.7,82.9,48.3,148.1,145.2,98.3,95.8,143.6,549.7,282.4,125.4,125.6,172.8,126.5,99.8,72.7,96.9,50.6,71.2,123.3,177.9,194.5,54,93.8,149,169.7,198.2,171.4,99.5,147.1,97.1,285.5,140.7,112.5,75.4,127.2,102.5
"SIMCORP",2019,"EU","Denmark","Software & Computer Services",326,80.056,17.0700320255034,17.6128800895868,454.531,18.7925023390988,1871,12.710843373494,1.722,-11.6923076923077,0.37885204749511,127.824,23.6866805360685,28.1221742851423,0,"Leader",134.6,146.3,146.1,218.2,338.7,152.2,213.4,148.6,154.1,89,43,136.8,145.2,98.3,95.8,143.6,589,282.4,127.2,131.5,163.4,126.5,99.8,74.4,98,50.6,71.4,124.4,167.6,194.5,54,93.8,136.9,164.8,208.8,171.4,95.5,141.2,97.1,293.5,139.9,112.5,76.6,124.6,102.3
"TERNA",2017,"EU","Italy","Electricity",711,17.3,-3.9,0.8,2184,7.4,3897,0.7,864.9,14.4,39.6,1090.2,6.8,49.9,6,"Moderate",83.6,76.8,21.6,90.8,79.5,106,75.4,82.4,65.6,87.2,30.8,59.4,77.4,135.5,122.5,56.3,118.4,52.9,75,99.1,128.6,100,108.7,81.3,62.2,75.8,191.5,100.8,86.5,56.7,80.9,60.1,46.5,62.7,92.7,69.5,67,62.2,128.9,67.4,98.5,104.5,73.3,118.6,62.8
"TERNA",2018,"EU","Italy","Electricity",590,26.7,54.3352601156069,1.17491749174917,2272.5,4.05219780219781,4252,9.10957146522966,992.5,14.7531506532547,43.6743674367437,1093.7,0.321042010640249,48.1276127612761,6,"Moderate",85.2,76.8,21.6,90.8,84.1,108.3,81.1,82.4,62.3,80.4,62.2,59.4,77.4,135.5,122.5,56.3,123.1,52.9,75.4,104.6,141.3,100,108.7,80.8,63.2,75.8,204.4,101.1,83.2,56.7,80.9,60.1,43.3,62.7,96.4,69.5,67,60.8,128.9,68.5,104,104.5,73.4,121.1,68
"TERNA",2019,"EU","Italy","Electricity",496,40.9,53.1835205992509,1.78766554482276,2287.9,0.677667766776691,4290,0.893697083725309,1121,12.9471032745592,48.9968967175139,1149.4,5.09280424247966,50.2382097119629,6,"Moderate",86,76.8,21.6,90.8,90.4,107.9,85.5,82.4,60.7,81.5,78.5,60.9,77.4,135.5,122.5,56.3,135.5,52.9,76,106.4,134.3,100,108.7,80.6,63.2,75.8,214.3,102.8,74,56.7,80.9,60.1,50.3,62.7,98.7,69.5,67.3,64.1,128.9,71,102.5,104.5,73.3,121.4,72.2
"DANIELI",2017,"EU","Italy","Industrial Engineering",647,20.3,-37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,"Moderate",83.6,76.8,21.6,90.8,79.5,106,75.4,82.4,65.6,87.2,30.8,59.4,77.4,135.5,122.5,56.3,118.4,52.9,75,99.1,128.6,100,108.7,81.3,62.2,75.8,191.5,100.8,86.5,56.7,80.9,60.1,46.5,62.7,92.7,69.5,67,62.2,128.9,67.4,98.5,104.5,73.3,118.6,62.8
"DANIELI",2018,"EU","Italy","Industrial Engineering",549,31.247,54.1615274557206,1.15490094618569,2705.6,8.61885124805695,9358,-0.647627136638707,61.317,-5.85733587176811,2.26629952690716,103.942,40.9440384015621,3.84173565937315,334,"Moderate",85.2,76.8,21.6,90.8,84.1,108.3,81.1,82.4,62.3,80.4,62.2,59.4,77.4,135.5,122.5,56.3,123.1,52.9,75.4,104.6,141.3,100,108.7,80.8,63.2,75.8,204.4,101.1,83.2,56.7,80.9,60.1,43.3,62.7,96.4,69.5,67,60.8,128.9,68.5,104,104.5,73.4,121.1,68
"DANIELI",2019,"EU","Italy","Industrial Engineering",625,25.227,-19.2658495215541,0.823446233631937,3063.588,13.231371969249,9521,1.74182517631973,73.769,20.3075819104001,2.40792822011315,116.046,11.6449558407574,3.78791142934363,334,"Moderate",86,76.8,21.6,90.8,90.4,107.9,85.5,82.4,60.7,81.5,78.5,60.9,77.4,135.5,122.5,56.3,135.5,52.9,76,106.4,134.3,100,108.7,80.6,63.2,75.8,214.3,102.8,74,56.7,80.9,60.1,50.3,62.7,98.7,69.5,67.3,64.1,128.9,71,102.5,104.5,73.3,121.4,72.2
"AIXTRON",2017,"EU","Germany","Technology Hardware & Equipment",373,54.6,6.7,23.7,230.4,17.3,581,-17.6,8.9,80.4,3.8,-18.4,-13,-8,192,"Strong",119,146.3,73.1,68.4,102.3,113.4,137.2,66.1,136.1,83.1,43.3,148.1,112.9,133.2,118.3,90.6,194.9,200,131.1,108.7,141.1,101.2,160.4,111.7,103.5,102.3,113.7,119.6,123.7,95.1,126.9,161.8,158,102.6,116.8,80.6,145.3,134.9,125.6,158.3,128.5,132,106.4,119.3,93.3
"AIXTRON",2018,"EU","Germany","Technology Hardware & Equipment",437,47.457,-13.0282593556427,17.6544114638166,268.811,16.6805566407098,628,8.0895008605852,8.064,-9.01500620557373,2.99987723716663,42.812,-332.257364509304,15.9264315820409,192,"Strong",118.6,134.8,73.1,68.4,105.6,112.9,137.2,66.1,136.1,89.6,44.4,147.4,112.9,133.2,118.3,90.6,200.5,200,129.2,109.8,136.1,101.2,160.4,112.5,104.2,102.3,123,119.7,116.8,95.1,126.9,161.8,153.5,97.7,117.1,80.6,145.1,132.9,125.6,159.8,126.4,132,107,119.5,95.8
"AIXTRON",2019,"EU","Germany","Technology Hardware & Equipment",459,46.995,-0.973512864277137,18.1009679270646,259.627,-3.41652685343976,688,9.55414012738853,6.427,-20.3000992063492,2.47547443062547,37.768,-11.7817434364197,14.5470232294792,192,"Strong",119.1,134.8,73.1,68.4,110,110.4,137.2,66.1,136.1,97.4,44.6,155.6,112.9,133.2,118.3,90.6,208.9,200,128.5,109.7,144.2,101.2,160.4,112.1,104.3,102.3,127.1,120,111.1,95.1,126.9,161.8,145.2,97.7,116.8,80.6,148,128.8,125.6,161.2,128.8,132,107,119,98.3
"SGL CARBON",2017,"EU","Germany","Chemicals",525,30.8,1.7,2.5,1225.7,3,4193,-22.1,52.9,52.9,4.3,68.9,-496,5.6,329,"Strong",119,146.3,73.1,68.4,102.3,113.4,137.2,66.1,136.1,83.1,43.3,148.1,112.9,133.2,118.3,90.6,194.9,200,131.1,108.7,141.1,101.2,160.4,111.7,103.5,102.3,113.7,119.6,123.7,95.1,126.9,161.8,158,102.6,116.8,80.6,145.3,134.9,125.6,158.3,128.5,132,106.4,119.3,93.3
"SGL CARBON",2018,"EU","Germany","Chemicals",537,33,7.14285714285714,3.15035799522673,1047.5,-14.5386309863751,5031,19.9856904364417,78.1,47.6370510396975,7.45584725536993,49.7,-27.866473149492,4.74463007159905,329,"Strong",118.6,134.8,73.1,68.4,105.6,112.9,137.2,66.1,136.1,89.6,44.4,147.4,112.9,133.2,118.3,90.6,200.5,200,129.2,109.8,136.1,101.2,160.4,112.5,104.2,102.3,123,119.7,116.8,95.1,126.9,161.8,153.5,97.7,117.1,80.6,145.1,132.9,125.6,159.8,126.4,132,107,119.5,95.8
"SGL CARBON",2019,"EU","Germany","Chemicals",527,36.8,11.5151515151515,3.38639919020889,1086.7,3.74224343675418,5127,1.90816935002982,95.1,21.7669654289373,8.75126529861047,-48.8,-198.189134808853,-4.49065979571179,329,"Strong",119.1,134.8,73.1,68.4,110,110.4,137.2,66.1,136.1,97.4,44.6,155.6,112.9,133.2,118.3,90.6,208.9,200,128.5,109.7,144.2,101.2,160.4,112.1,104.3,102.3,127.1,120,111.1,95.1,126.9,161.8,145.2,97.7,116.8,80.6,148,128.8,125.6,161.2,128.8,132,107,119,98.3
"DIALOG SEMICONDUCTOR",2017,"EU","UK","Technology Hardware & Equipment",126,243.3,16.7,21.6,1128,13,2071,18.1,40,86,3.5,155.9,-39.6,13.8,310,"Leader",126.4,158.9,134.1,136.7,156.7,143,262.2,NA,67.2,126.7,207.7,78.9,125.8,132.8,98.1,328.6,210.3,250,94.3,100.5,66.4,145.8,141.4,93.3,112.5,162.9,197.4,85.2,101,39.1,89.5,83.7,140.1,145.2,175.1,39,83.9,132.9,115,270.7,86.7,143.3,117.5,117.8,125.3
"DIALOG SEMICONDUCTOR",2018,"EU","UK","Technology Hardware & Equipment",119,276.701168,8.58395256664852,21.9689793334762,1259.508527,6.60070174136318,2100,1.40028971511348,22.834049,-45.4608039839849,1.81293326011758,174.416504,6.78547892376864,13.8479811975104,310,"Leader",127.7,162.8,134.7,135.7,165.6,146.8,263.5,NA,63.9,139.7,207.7,80.5,122.6,132.8,98.1,328.6,222.1,250,92.2,98.4,66.3,145.8,141.4,89.4,113.2,162.9,218.4,87.1,97.6,39.1,89.5,83.7,148.4,146.7,179.3,39,84.5,135.3,115,272.8,85.4,143.3,116.2,122.6,128.2
"DIALOG SEMICONDUCTOR",2019,"RoW","UK","Technology Hardware & Equipment",144,243.886447,-13.5220611152032,17.4929879649868,1394.195477,8.60534847741861,2036,-3.04761904761904,10.79669,-53.6087196283504,0.77440288525624,338.128047,90.2051510505271,24.252556587515,310,"Leader",128.5,169.3,140.1,138.7,175.5,148.9,256.7,NA,63.9,150.5,207.7,82.7,129,132.8,98.1,328.6,231,261.8,90,93.5,66.6,150.6,141.4,82.2,113.8,162.9,224.2,89.5,92.5,39.1,89.5,83.7,134.4,152,181.1,39,85.4,131.6,115,279.7,83.3,145.7,113.5,123.7,131.6
"KSB",2017,"EU","Germany","Industrial Engineering",422,44,-9.6,2,2205,1.8,15455,-0.8,88.5,23.6,4,106.9,20.9,4.9,276,"Strong",119,146.3,73.1,68.4,102.3,113.4,137.2,66.1,136.1,83.1,43.3,148.1,112.9,133.2,118.3,90.6,194.9,200,131.1,108.7,141.1,101.2,160.4,111.7,103.5,102.3,113.7,119.6,123.7,95.1,126.9,161.8,158,102.6,116.8,80.6,145.3,134.9,125.6,158.3,128.5,132,106.4,119.3,93.3
"KSB",2018,"EU","Germany","Industrial Engineering",392,54.56,23.8845621125769,2.4292637229357,2245.948,1.85899232547739,15713,1.66936266580395,69.203,-21.8274857104128,3.08123785590762,75.145,-29.7355674826548,3.34580319758071,276,"Strong",118.6,134.8,73.1,68.4,105.6,112.9,137.2,66.1,136.1,89.6,44.4,147.4,112.9,133.2,118.3,90.6,200.5,200,129.2,109.8,136.1,101.2,160.4,112.5,104.2,102.3,123,119.7,116.8,95.1,126.9,161.8,153.5,97.7,117.1,80.6,145.1,132.9,125.6,159.8,126.4,132,107,119.5,95.8
"KSB",2019,"EU","Germany","Industrial Engineering",390,60.114,10.1796187683284,2.52242272421151,2383.185,6.11042642127066,15645,-0.432762680582954,76.595,10.6816178489372,3.21397625446619,119.829,59.463703506554,5.02810314767842,276,"Strong",119.1,134.8,73.1,68.4,110,110.4,137.2,66.1,136.1,97.4,44.6,155.6,112.9,133.2,118.3,90.6,208.9,200,128.5,109.7,144.2,101.2,160.4,112.1,104.3,102.3,127.1,120,111.1,95.1,126.9,161.8,145.2,97.7,116.8,80.6,148,128.8,125.6,161.2,128.8,132,107,119,98.3
"CEGEDIM",2017,"EU","France","Software & Computer Services",420,44.6,9.9,9.5,470.4,6.2,4062,0,12.3,-19.4,2.6,27.3,149.7,5.8,4,"Strong",112.7,123.2,153.3,102,94.4,96.1,232.4,121.3,103.3,148.2,230,105.3,100,111.7,137,149.6,131.4,94.1,104.4,76.5,66.5,114.5,129.4,94.5,83.5,74.1,138,106.2,113.6,144.6,75.3,122.7,64.3,127.3,128.8,133,100.7,82.4,124.7,122.1,85,122.1,85.5,116.4,152.9
"CEGEDIM",2018,"EU","France","Software & Computer Services",459,44.4,-0.448430493273544,9.45173547913274,469.755,-0.146032879717373,4562,12.3092072870507,10.976,-10.4073136886785,2.33653713105768,40.011,46.614144375229,8.51741865440496,4,"Strong",112.7,111.6,153.3,102,97.5,93.9,232.4,121.3,101.6,153.9,230,106,100,111.7,137,149.6,132.8,94.1,104.6,76.8,64.6,114.5,129.4,93,85.3,74.1,152.9,105.8,114.2,144.6,75.3,122.7,64.3,122.6,128.2,133,100.9,82.4,124.7,122.1,84.5,122.1,85.5,120,154
"CEGEDIM",2019,"EU","France","Software & Computer Services",456,47.6,7.20720720720722,9.44922530248439,503.745,7.23568668774148,4946,8.41736080666375,11.704,6.63265306122449,2.32339775084616,44.781,11.9217215265802,8.88961677038978,4,"Strong",113.3,123.2,153.3,102,99.4,94.9,232.4,121.3,98.4,154.8,230,105.3,100,111.7,137,149.6,133.5,117.6,103,77.7,65.1,114.5,129.4,92.5,81.4,74.1,159.3,105.8,107.4,144.6,75.3,122.7,64.3,127.3,129.3,133,100.7,82.4,124.7,132.6,84.2,122.1,83.9,119.5,153.1
"KEMIRA",2017,"EU","Finland","Chemicals",527,30.3,-5.3,1.2,2486,5.2,4732,-1.8,186.4,-12.3,7.5,139.5,-4.5,5.6,405,"Leader",128.8,146.3,92.2,274.3,225,117.5,117,196.5,132.8,115.5,47.1,140.6,193.5,194.3,148.3,246.8,417.5,152.9,133.2,109.7,113.4,126.5,122.8,61.5,107.3,69.4,9.5,92.9,129.6,102.3,57.7,113.2,206.4,162,141.5,149.7,104.2,199.8,170.9,240.9,120.7,124.5,79.3,83.6,103.4
"KEMIRA",2018,"EU","Finland","Chemicals",558,30.2,-0.330033003300334,1.1647639617402,2592.8,4.29605792437651,4915,3.86728655959425,150.4,-19.31330472103,5.80067880283863,141.9,1.72043010752689,5.4728478864548,405,"Leader",127,134.8,92.2,274.3,233.6,115.2,125,196.5,127.9,117.6,46.2,131.6,193.5,194.3,148.3,246.8,405.1,152.9,133.2,124.1,94.1,126.5,122.8,64.6,107.7,69.4,12.2,93.4,117.7,102.3,57.7,113.2,186.6,157.1,144,149.7,100.9,190.2,170.9,238.4,118.2,124.5,80.7,80.8,101.9
"KEMIRA",2019,"EU","Finland","Chemicals",578,30.3,0.331125827814582,1.13961185497217,2658.8,2.5455106448627,5062,2.99084435401831,203.8,35.5053191489362,7.66511208063788,191.7,35.0951374207188,7.2100195576952,405,"Leader",127.4,123.2,92.2,274.3,242.1,120.4,131.2,196.5,131.1,129.6,42.4,130.8,193.5,194.3,148.3,246.8,418.4,150,133.2,127.8,86.3,126.5,122.8,63.2,105.5,69.4,9.4,92.8,112.4,102.3,57.7,113.2,207,152.5,150.3,149.7,100.7,200.2,170.9,239.9,116.5,124.5,79.3,78.2,105.9
"NOVOMATIC",2017,"EU","Austria","Travel & Leisure",241,115,21.1,5.1,2233.1,8.6,24415,4.4,411.6,5.5,18.4,209.8,-18.8,9.4,110,"Strong",123.3,100,106,138.7,185.4,115.8,162,130.4,121.3,71.4,183.7,160.9,100,146.7,158.4,256.1,353.9,123.5,113.7,129.8,159.2,108.4,145.8,91.9,51.4,91.3,97.9,115.7,125.5,79.5,72.8,99.9,179.6,111.9,142.7,105,112.1,139,152.7,218.8,132.5,127.9,77.7,114.3,122.6
"NOVOMATIC",2018,"EU","Austria","Travel & Leisure",244,118.3,2.8695652173913,4.52632384450566,2613.6,17.0390936366486,23495,-3.7681753020684,NA,NA,NA,-124.1,-159.151572926597,-4.7482399755127,110,"Strong",124,100,106,138.7,188.6,112,169.8,130.4,129.5,81.9,172.5,161.7,100,146.7,158.4,256.1,366.3,123.5,113.6,130.3,154.3,108.4,145.8,92.4,49.9,91.3,108.2,116.2,107.9,79.5,72.8,99.9,201.3,111.9,143.3,105,112.5,149.6,152.7,221.4,131,127.9,77.4,111.7,126.1
"NOVOMATIC",2019,"EU","Austria","Travel & Leisure",277,105.4,-10.9044801352494,4.0424960687301,2607.3,-0.241046831955916,22053,-6.1374760587359,281.6,NA,10.8004449046907,168.2,-235.535858178888,6.45111801480459,110,"Strong",122.5,100,106,138.7,199.7,115.9,182.8,130.4,129.5,70.8,164,157.9,100,146.7,158.4,256.1,383,129.4,112.8,133,151.4,108.4,145.8,91.1,50.9,91.3,110.1,118.2,93.2,79.5,72.8,99.9,162.4,111.9,151,105,111,130.6,152.7,227.5,130.3,127.9,77.3,108.5,120.3
"FLSMIDTH",2017,"EU","Denmark","Industrial Engineering",539,28.5,5,1.1,2536,-0.2,11716,-3.9,23.4,-14.3,0.9,94.2,-14.2,3.7,378,"Leader",135.1,157.9,146.1,218.2,303.3,150,193.6,148.6,159,82.4,39.7,142.9,145.2,98.3,95.8,143.6,551,282.4,128.2,119.2,169.9,126.5,99.8,73.9,103.4,50.6,71.9,123.3,188.7,194.5,54,93.8,154.8,169.7,194.8,171.4,97.5,149.8,97.1,285.5,139.4,112.5,78.1,130.7,101.3
"FLSMIDTH",2018,"EU","Denmark","Industrial Engineering",491,38.715467,36.3207564941365,1.48532660344718,2606.528888,3.0561440601969,11368,-2.97029702970297,38.581503,65.5172418231104,1.480187047902,141.733441,50.9272466763694,5.43763169679476,378,"Leader",134.9,157.9,146.1,218.2,315.5,146.4,204.1,148.6,155.7,82.9,48.3,148.1,145.2,98.3,95.8,143.6,549.7,282.4,125.4,125.6,172.8,126.5,99.8,72.7,96.9,50.6,71.2,123.3,177.9,194.5,54,93.8,149,169.7,198.2,171.4,99.5,147.1,97.1,285.5,140.7,112.5,75.4,127.2,102.5
"FLSMIDTH",2019,"EU","Denmark","Industrial Engineering",502,40.268249,4.49826868397145,1.46275304059435,2752.908241,6.11091124360379,11765,3.49225897255454,23.600927,-38.5416677245678,0.857308886961917,168.939975,19.7542530930595,6.13678191244879,378,"Leader",134.6,146.3,146.1,218.2,338.7,152.2,213.4,148.6,154.1,89,43,136.8,145.2,98.3,95.8,143.6,589,282.4,127.2,131.5,163.4,126.5,99.8,74.4,98,50.6,71.4,124.4,167.6,194.5,54,93.8,136.9,164.8,208.8,171.4,95.5,141.2,97.1,293.5,139.9,112.5,76.6,124.6,102.3
"COMPUGROUP MEDICAL",2017,"EU","Germany","Software & Computer Services",490,35.2,10.7,6,582.4,4,5152,3.9,18.7,-19.2,3.2,88.1,8.6,15.1,27,"Strong",119,146.3,73.1,68.4,102.3,113.4,137.2,66.1,136.1,83.1,43.3,148.1,112.9,133.2,118.3,90.6,194.9,200,131.1,108.7,141.1,101.2,160.4,111.7,103.5,102.3,113.7,119.6,123.7,95.1,126.9,161.8,158,102.6,116.8,80.6,145.3,134.9,125.6,158.3,128.5,132,106.4,119.3,93.3
"COMPUGROUP MEDICAL",2018,"EU","Germany","Software & Computer Services",453,44.819,27.2580141400948,6.25070604429705,717.023,23.1204979609358,4955,-3.82375776397516,12.727,-31.8427676324104,1.77497792957827,137.794,56.3282809947359,19.2175146403951,27,"Strong",118.6,134.8,73.1,68.4,105.6,112.9,137.2,66.1,136.1,89.6,44.4,147.4,112.9,133.2,118.3,90.6,200.5,200,129.2,109.8,136.1,101.2,160.4,112.5,104.2,102.3,123,119.7,116.8,95.1,126.9,161.8,153.5,97.7,117.1,80.6,145.1,132.9,125.6,159.8,126.4,132,107,119.5,95.8
"COMPUGROUP MEDICAL",2019,"EU","Germany","Software & Computer Services",406,55.3,23.385171467458,7.41477699354257,745.808,4.01451557341954,5627,13.5620585267407,14.684,15.3767580733873,1.96887134490378,119.555,-13.2364253886236,16.0302651620792,27,"Strong",119.1,134.8,73.1,68.4,110,110.4,137.2,66.1,136.1,97.4,44.6,155.6,112.9,133.2,118.3,90.6,208.9,200,128.5,109.7,144.2,101.2,160.4,112.1,104.3,102.3,127.1,120,111.1,95.1,126.9,161.8,145.2,97.7,116.8,80.6,148,128.8,125.6,161.2,128.8,132,107,119,98.3
"TDC",2017,"EU","Denmark","Fixed Line Telecommunications",437,41.6,7.3,1.5,2722.7,-3.6,8097,1.7,434.1,-2.9,15.9,414.2,-13.1,15.2,12,"Leader",135.1,157.9,146.1,218.2,303.3,150,193.6,148.6,159,82.4,39.7,142.9,145.2,98.3,95.8,143.6,551,282.4,128.2,119.2,169.9,126.5,99.8,73.9,103.4,50.6,71.9,123.3,188.7,194.5,54,93.8,154.8,169.7,194.8,171.4,97.5,149.8,97.1,285.5,139.4,112.5,78.1,130.7,101.3
"TDC",2018,"EU","Denmark","Fixed Line Telecommunications",385,55.594875,33.870967120523,2.39110392864704,2325.071459,-14.3759250121845,7109,-5.90337524818001,289.629205,-33.1064357363211,12.4567872475011,233.766403,-38.8363127112154,10.0541599310905,12,"Leader",134.9,157.9,146.1,218.2,315.5,146.4,204.1,148.6,155.7,82.9,48.3,148.1,145.2,98.3,95.8,143.6,549.7,282.4,125.4,125.6,172.8,126.5,99.8,72.7,96.9,50.6,71.2,123.3,177.9,194.5,54,93.8,149,169.7,198.2,171.4,99.5,147.1,97.1,285.5,140.7,112.5,75.4,127.2,102.5
"TDC",2019,"EU","Denmark","Fixed Line Telecommunications",376,64.269193,16.1445772550859,2.82797462521154,2272.62269,-1.79764923964419,7327,3.06653537769026,453.351158,57.2617946660453,19.9483689041228,155.472779,-33.1805159895969,6.84111707957998,12,"Leader",134.6,146.3,146.1,218.2,338.7,152.2,213.4,148.6,154.1,89,43,136.8,145.2,98.3,95.8,143.6,589,282.4,127.2,131.5,163.4,126.5,99.8,74.4,98,50.6,71.4,124.4,167.6,194.5,54,93.8,136.9,164.8,208.8,171.4,95.5,141.2,97.1,293.5,139.9,112.5,76.6,124.6,102.3
"NEMETSCHEK",2017,"EU","Germany","Software & Computer Services",279,91.5,14.3,23.1,395.6,17.3,2142,11.3,8.8,19.2,2.2,87.6,25.8,22.2,0,"Strong",119,146.3,73.1,68.4,102.3,113.4,137.2,66.1,136.1,83.1,43.3,148.1,112.9,133.2,118.3,90.6,194.9,200,131.1,108.7,141.1,101.2,160.4,111.7,103.5,102.3,113.7,119.6,123.7,95.1,126.9,161.8,158,102.6,116.8,80.6,145.3,134.9,125.6,158.3,128.5,132,106.4,119.3,93.3
"NEMETSCHEK",2018,"EU","Germany","Software & Computer Services",257,110.129,20.3437800507037,23.8736697890089,461.299,16.6168648626785,2587,20.7749766573296,11.295,28.5421645612837,2.44852037398737,97.589,11.3635585580445,21.1552593870787,0,"Strong",118.6,134.8,73.1,68.4,105.6,112.9,137.2,66.1,136.1,89.6,44.4,147.4,112.9,133.2,118.3,90.6,200.5,200,129.2,109.8,136.1,101.2,160.4,112.5,104.2,102.3,123,119.7,116.8,95.1,126.9,161.8,153.5,97.7,117.1,80.6,145.1,132.9,125.6,159.8,126.4,132,107,119.5,95.8
"NEMETSCHEK",2019,"EU","Germany","Software & Computer Services",230,133,20.7674636108564,23.8831056656832,556.879,20.7197500970087,2875,11.1325860069579,19.273,70.6330234617087,3.46089545484746,123.386,26.4343317382082,22.1566983132781,0,"Strong",119.1,134.8,73.1,68.4,110,110.4,137.2,66.1,136.1,97.4,44.6,155.6,112.9,133.2,118.3,90.6,208.9,200,128.5,109.7,144.2,101.2,160.4,112.1,104.3,102.3,127.1,120,111.1,95.1,126.9,161.8,145.2,97.7,116.8,80.6,148,128.8,125.6,161.2,128.8,132,107,119,98.3
"ENERGIAS DE PORTUGAL",2017,"EU","Portugal","Electricity",338,65,338.7,0.4,15746,7.9,11657,-2.8,1921,-8.1,12.2,2336.5,0.3,14.8,1,"Moderate",87.5,88.4,122.8,115.3,121.6,98.3,125.6,109.3,86.9,85.7,101.3,40.6,100,182.4,181.3,105,105.2,82.4,44.5,98.6,97.7,79.5,119.6,51.9,47.7,45,55.3,0.2,105.2,162.5,87.1,41.5,111.5,106.4,110.1,135.9,56.5,105.7,181.8,95.3,75.4,100.4,48.7,46.2,90.4
