company,patents_2010_2019,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
LLOYDS BANKING,0,0,0,0,0,0,0,0,0,0,0
KNORR-BREMSE,1917,351,322,258,297,252,342,345,427,433,438
LEGRAND,543,114,96,99,80,85,89,61,65,60,41
B BRAUN MELSUNGEN,505,59,80,81,94,108,112,140,124,145,112
ATLAS COPCO,698,148,151,123,128,144,146,177,176,161,148
WACKER CHEMIE,1288,262,254,255,236,214,238,251,230,238,224
COMMERZBANK,1,0,0,1,0,0,0,0,0,0,0
AGFA-GEVAERT,141,22,36,26,31,20,41,35,26,33,29
KERRY,388,91,82,119,78,42,20,20,16,22,19
NOVOZYMES,1498,355,369,325,363,424,470,410,488,376,360
FREUDENBERG,980,198,216,172,162,139,130,121,94,105,129
AMDOCS,25,3,3,2,0,1,5,6,5,7,5
PIRELLI,598,163,150,123,108,139,141,155,203,150,148
RSA INSURANCE,0,0,0,0,0,0,0,0,0,0,0
WARTSILA,603,46,55,73,92,148,140,118,135,103,91
DRAGERWERK,811,102,75,69,118,135,145,152,121,97,108
TECHNICOLOR,125,2,7,44,35,7,16,18,12,6,0
GRUNDFOS,405,72,82,71,86,73,62,61,82,80,78
DANFOSS,863,179,124,126,150,150,133,179,180,196,159
RECKITT BENCKISER,647,217,231,195,167,176,118,108,129,103,61
MTU AERO ENGINES,1290,230,189,167,127,161,161,138,208,129,187
VEOLIA ENVIRONNEMENT,340,42,75,70,69,88,80,78,88,68,79
RIO TINTO,105,12,21,26,22,22,46,51,49,30,19
ARKEMA,1919,414,415,375,324,383,491,549,577,588,590
ANHEUSER-BUSCH INBEV,153,12,16,14,18,23,21,43,59,94,82
HEXAGON,327,27,24,33,66,87,85,60,74,60,76
UMICORE,586,109,117,118,107,109,118,137,135,165,188
SKF,1815,250,282,366,393,428,503,354,168,67,60
SAAB,507,124,133,139,93,99,113,85,106,67,75
IBERDROLA,29,3,2,2,4,9,5,2,8,0,1
TRUMPF,1158,155,154,155,159,182,180,206,212,248,271
CLAAS,1119,148,134,133,102,132,158,143,150,132,174
JOHNSON MATTHEY,914,125,149,162,179,204,260,311,382,346,291
HEIDELBERGER DRUCKMASCHINEN,1014,166,131,140,103,104,91,98,82,71,112
BURELLE,1,1,0,1,0,0,0,0,0,0,0
VILMORIN,30,2,2,3,5,7,10,8,12,15,10
BOUYGUES,122,18,20,18,27,15,19,12,15,10,5
LANXESS,936,181,215,216,240,229,254,205,219,128,136
KRONES,2581,299,348,359,362,405,418,388,356,389,444
SMITH & NEPHEW,963,231,223,223,226,271,285,317,324,252,289
ASSA ABLOY,679,62,61,79,74,101,136,157,157,175,177
LYONDELLBASELL INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0
BENTELER INTERNATIONAL,0,0,0,0,0,0,0,0,0,0,0
