company,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
INGENICO,22,22,33,29,36,55,73,68,76,72
ENEL,11,9,7,13,12,17,17,17,12,6
ACCIONA,11,24,22,28,28,30,26,25,25,11
BOREALIS,264,289,233,263,263,299,328,365,304,333
E.ON,9,8,8,9,7,4,5,8,15,26
DEUTZ,28,24,20,20,17,23,19,13,22,16
COBHAM,6,3,5,5,5,4,4,5,10,10
SNCF,7,14,29,30,38,31,37,37,35,31
ALTANA,10,7,3,2,3,5,2,1,3,5
STORA ENSO,51,58,61,70,78,79,109,140,137,142
BEKAERT,98,100,93,105,99,89,88,91,74,82
ORION OYJ,69,67,61,43,38,56,53,58,75,66
ASM INTERNATIONAL,5,10,8,9,2,4,8,3,3,1
MEGGITT,19,15,21,11,15,21,18,19,11,6
SALZGITTER,24,25,22,27,34,29,28,35,49,34
MUNICH RE,0,0,0,0,0,0,0,0,0,2
SMA SOLAR TECHNOLOGY,47,65,101,96,104,97,71,50,42,63
LFB,27,37,36,30,20,19,11,10,3,1
DEXIA,0,0,0,0,0,0,0,0,0,0
LEONI,34,40,34,27,52,71,72,77,105,97
SPECTRIS,0,0,0,0,1,0,0,0,0,0
BARCO,27,17,21,26,26,45,59,57,43,42
NEXANS,98,112,128,92,107,104,78,97,99,82
KONE,157,162,164,183,197,216,233,244,199,180
RECORDATI,10,10,8,6,10,11,10,13,6,12
ALFA LAVAL,110,113,108,132,116,140,139,137,124,117
HEIDELBERGCEMENT,1,1,2,8,5,12,17,19,17,13
WUSTENROT & WURTTEMBERGISCHE,0,0,0,0,0,0,0,0,0,0
GEA,145,151,167,169,190,249,242,231,197,169
SICK,143,201,162,144,181,195,203,200,180,214
HERAEUS,165,194,235,238,280,326,314,342,273,237
VALLOUREC,56,53,50,58,82,83,96,105,72,69
IMMSI,0,0,0,0,0,0,0,0,0,0
GN STORE NORD,0,0,0,2,10,10,0,0,0,0
ELEKTA,27,30,24,23,16,25,30,40,46,57
SPIRENT COMMUNICATIONS,4,4,1,0,2,2,3,2,1,0
BANG & OLUFSEN,34,19,15,17,17,16,19,14,14,10
KBC,0,1,2,2,3,2,1,1,3,6
LEGO,9,11,18,17,17,24,32,38,31,48
EXPERIAN,5,3,4,6,5,6,1,0,3,5
TRELLEBORG,42,47,44,22,29,39,29,43,41,42
ZUMTOBEL,103,98,80,103,135,168,153,155,125,79
PRYSMIAN,61,80,78,73,79,82,86,108,91,108
MICRO FOCUS INTERNATIONAL,1,2,2,2,9,16,35,49,83,38
MORPHOSYS,23,16,16,20,26,23,19,30,27,28
KASPERSKY LABS,0,0,0,0,0,0,0,0,0,0
ANDRITZ,93,98,126,135,132,113,145,122,109,98
STANDARD LIFE,1,0,1,1,1,1,2,0,0,0
SWEDISH ORPHAN BIOVITRUM,7,3,6,12,8,14,19,14,12,14
COLOPLAST,121,150,104,119,117,114,150,127,107,149
JOHN LEWIS,3,5,8,4,1,3,2,2,1,1
MARKS & SPENCER,2,2,2,2,2,3,4,3,0,0
ADVA,10,16,23,20,17,14,17,12,24,15
IMI,35,23,23,32,19,22,21,30,22,18
BIOTEST,12,15,12,10,9,18,14,9,6,10
NKT,38,32,18,25,17,23,45,42,40,43
PEARSON,66,82,73,69,23,28,16,22,31,32
SOPHOS,0,0,0,1,3,0,5,16,19,33
ACS,33,30,34,17,16,22,21,23,28,20
SOMFY,72,72,68,78,55,55,63,77,55,72
ULTRA ELECTRONICS,8,12,9,11,6,7,11,12,6,4
TENARIS,19,25,13,13,17,13,12,7,2,5
CHRISTIAN DIOR,3,4,5,4,9,11,9,8,5,4
KOENIG & BAUER,215,151,128,110,112,112,149,176,172,157
HUGO BOSS,2,1,0,0,0,0,0,0,0,0
ELRINGKLINGER,68,43,40,44,65,89,75,70,58,73
UPM-KYMMENE,64,78,79,107,135,129,111,83,69,65
NEOPOST,36,27,24,9,21,16,13,14,15,13
FINCANTIERI,2,2,3,3,14,15,18,12,10,6
ERAMET,1,0,2,4,6,11,14,7,5,2
VECTURA,32,35,26,23,27,26,34,29,30,21
SARTORIUS,92,106,102,85,86,94,99,101,88,114
SIMCORP,0,0,0,0,0,0,0,0,0,0
TERNA,1,0,0,0,4,3,0,0,0,1
DANIELI,56,67,64,85,96,101,100,71,66,61
AIXTRON,14,29,25,24,26,40,44,34,39,46
SGL CARBON,39,78,101,106,71,46,42,46,31,29
DIALOG SEMICONDUCTOR,19,40,32,35,77,91,41,33,25,9
KSB,40,56,60,64,41,56,67,79,59,62
CEGEDIM,0,1,0,1,1,1,0,1,0,0
KEMIRA,64,61,71,101,74,78,100,128,148,126
NOVOMATIC,10,12,32,36,53,58,53,51,34,41
FLSMIDTH,70,86,86,81,88,90,93,85,60,56
COMPUGROUP MEDICAL,1,11,8,1,5,6,2,3,3,2
TDC,1,2,2,2,3,5,2,1,2,0
NEMETSCHEK,0,0,0,0,0,0,0,0,0,0
ENERGIAS DE PORTUGAL,0,0,0,0,0,0,0,1,0,0
JUNGHEINRICH,39,36,61,30,42,48,61,64,65,68
PAUL HARTMANN,47,59,65,47,54,48,33,34,30,36
PUMA,11,9,19,24,16,15,14,30,31,32
SUDZUCKER,29,37,32,18,24,33,21,24,17,20
CARGOTEC,13,23,17,15,10,5,6,8,20,14
BANK OF IRELAND,0,0,0,0,0,0,0,0,0,0
DEUTSCHE BAHN,11,9,1,4,3,2,4,7,10,8
RENISHAW,92,62,57,55,51,69,74,61,69,75
PARROT,23,26,28,18,10,18,22,38,28,10
ENBW ENERGIE BADEN-WURTTEMBERG,9,15,3,3,8,11,7,10,13,13
LONDON STOCK EXCHANGE,0,0,0,0,0,0,0,0,0,0
POSTE ITALIANE,0,2,0,0,0,0,1,0,0,1
F-SECURE,11,14,30,30,18,10,6,3,1,1
GUERBET,7,9,9,10,8,7,8,12,11,8
AHOLD,1,1,0,1,0,0,1,1,0,1
